fileID,f1,f2,vot,notes
ne03_kaka,789.47,1791.02,29.66,
ne03_kaka1,823.53,1706.01,34.19,
ne03_kaka2,875.63,1417.47,43.36,
ne03_keke,608.51,2640.07,28.07,
ne03_keke1,567.24,1759.71,30.39,
ne03_keke2,562.19,2538.75,39.02,
ne03_kiki,527.57,2726.34,39.02,
ne03_kiki1,414.06,1980.35,78.86,
ne03_kiki2,372.52,2776.09,65.82,
ne03_koko,512.99,1071.09,52.00,
ne03_koko1,540.25,1214.33,34.47,
ne03_koko2,572.70,1092.19,38.32,
ne03_kuku,518.16,994.29,50.14,
ne03_kuku1,467.56,1072.34,58.14,
ne03_kuku2,415.18,1054.26,46.69,
ne03_paka,854.88,1777.62,13.76,
ne03_paka1,735.97,1823.35,26.96,
ne03_paka2,758.21,1894.66,7.45,
ne03_peke,547.21,1873.25,13.21,
ne03_peke1,776.12,2468.90,38.36,
ne03_peke2,618.01,1861.26,21.04,
ne03_piki,363.94,2626.18,25.90,
ne03_piki1,379.09,2008.43,38.30,
ne03_piki2,390.65,2137.31,20.60,
ne03_poko,642.36,1113.88,18.86,
ne03_poko1,588.63,1180.07,39.57,
ne03_poko2,594.26,1101.27,42.70,
ne03_puku,805.77,1291.92,35.37,
ne03_puku1,425.24,964.78,49.85,
ne03_puku2,496.97,998.32,72.68,
ne03_taka,622.77,1373.01,27.83,
ne03_taka1,862.18,1753.53,23.66,
ne03_taka2,646.85,1166.92,18.76,
ne03_teke,578.48,1436.50,42.89,
ne03_teke1,572.78,1859.89,34.01,
ne03_teke2,567.93,1660.42,30.24,
ne03_tiki,386.42,2787.21,47.12,
ne03_tiki1,377.08,1529.46,80.91,
ne03_tiki2,411.69,1732.38,30.69,
ne03_toko,617.28,1100.52,37.39,
ne03_toko1,625.13,1197.61,36.94,
ne03_toko2,537.10,1068.62,29.01,
ne03_tuku,445.68,1095.25,42.90,
ne03_tuku1,428.98,1050.45,61.08,
ne03_tuku2,478.55,1121.05,46.22,
