fileID,f1,f2,vot,notes
ne01_kaka,882.88,1649.77,41.35,
ne01_kaka1,951.83,1776.30,43.80,
ne01_kaka2,1078.12,1752.93,35.63,
ne01_keke,469.74,2478.59,43.33,
ne01_keke1,592.84,2492.95,36.58,
ne01_keke2,492.87,2635.19,32.45,
ne01_kiki,348.94,2845.16,41.70,
ne01_kiki1,1302.82,2130.29,46.96,
ne01_kiki2,438.62,2786.66,44.92,
ne01_koko,641.49,1068.28,50.17,
ne01_koko1,578.39,1064.98,29.97,
ne01_koko2,638.10,1101.58,40.62,
ne01_kuku,491.22,1107.49,64.78,
ne01_kuku1,443.63,1010.39,62.90,
ne01_kuku2,1097.14,2150.31,57.19,
ne01_paka,751.57,1503.67,19.98,
ne01_paka1,797.81,1525.98,11.60,
ne01_paka2,855.27,1662.94,3.21,
ne01_peke,402.40,2666.21,11.06,
ne01_peke1,392.55,2680.93,22.88,
ne01_peke2,553.13,2516.73,10.55,
ne01_piki,402.54,2826.90,20.07,
ne01_piki1,419.64,2865.02,12.60,
ne01_piki2,372.14,2924.59,9.51,
ne01_poko,515.73,1082.93,26.50,
ne01_poko1,572.29,1155.48,24.45,
ne01_poko2,505.43,1052.63,15.49,
ne01_puku,420.57,1062.21,30.97,
ne01_puku1,449.18,1066.58,53.68,
ne01_puku2,441.68,1008.06,62.60,
ne01_taka,887.61,1698.69,16.58,
ne01_taka1,1207.76,1781.15,15.16,
ne01_taka2,940.55,1700.23,11.88,
ne01_teke,516.89,2465.91,17.81,
ne01_teke1,548.57,2467.37,17.71,
ne01_teke2,796.93,2501.36,12.03,
ne01_tiki,373.72,2869.19,26.66,
ne01_tiki1,384.15,2838.16,30.64,
ne01_tiki2,362.64,3005.39,36.84,
ne01_toko,589.36,993.04,36.74,
ne01_toko1,508.88,1080.34,28.58,
ne01_toko2,539.81,1060.34,20.07,
ne01_tuku,424.46,1057.44,47.13,
ne01_tuku1,413.62,1073.03,32.27,
ne01_tuku2,1075.97,1724.53,43.88,
