fileID,f1,f2,vot,notes
bi02_kaka,786.70,1574.52,24.33,
bi02_kaka1,784.43,1536.77,28.55,
bi02_kaka2,517.04,1483.72,24.84,
bi02_keke,470.05,2203.08,25.00,
bi02_keke1,469.79,2325.12,24.36,
bi02_keke2,516.39,2236.36,20.23,
bi02_kiki,337.84,2593.03,34.43,
bi02_kiki1,348.49,2671.61,24.31,
bi02_kiki2,336.02,2566.66,24.04,
bi02_koko,617.98,1004.68,38.31,
bi02_koko1,591.50,962.18,33.10,
bi02_koko2,444.32,907.13,35.61,
bi02_kuku,471.96,911.21,37.14,
bi02_kuku1,467.71,920.83,36.60,
bi02_kuku2,292.02,782.99,27.16,
bi02_paka,818.11,1634.52,8.16,
bi02_paka1,720.36,1426.94,10.38,
bi02_paka2,733.20,1598.39,11.16,
bi02_peke,502.29,2265.57,21.35,
bi02_peke1,463.55,2336.85,19.14,
bi02_peke2,491.36,2374.14,15.91,
bi02_piki,357.29,1670.31,23.47,
bi02_piki1,286.36,2575.84,14.47,
bi02_piki2,572.90,2681.98,18.40,
bi02_poko,581.16,920.30,16.84,
bi02_poko1,589.21,951.41,13.39,
bi02_poko2,556.76,1052.81,20.10,
bi02_puku,506.98,895.77,27.93,
bi02_puku1,464.11,840.51,17.36,
bi02_puku2,451.81,801.65,21.96,
bi02_taka,803.44,1553.74,15.38,
bi02_taka1,759.93,1526.26,11.20,
bi02_taka2,498.81,1441.09,18.03,
bi02_teke,532.59,2214.73,12.77,
bi02_teke1,466.57,2332.50,13.05,
bi02_teke2,377.32,1950.64,13.70,
bi02_tiki,644.54,2311.55,16.00,
bi02_tiki1,345.29,2763.29,16.76,
bi02_tiki2,465.58,1750.37,16.71,
bi02_toko,475.36,902.92,9.96,
bi02_toko1,543.01,964.30,11.15,
bi02_toko2,601.30,998.54,12.64,
bi02_tuku,472.23,958.97,12.22,
bi02_tuku1,467.20,928.61,13.14,
bi02_tuku2,522.01,830.14,15.60,
